Entity,Code,Year,Annual CO₂ emissions
Indonesia,IDN,1889,3664
Indonesia,IDN,1890,14656
Indonesia,IDN,1891,21984
Indonesia,IDN,1892,190757
Indonesia,IDN,1893,403040
Indonesia,IDN,1894,479984
Indonesia,IDN,1895,769440
Indonesia,IDN,1896,861040
Indonesia,IDN,1897,1106528
Indonesia,IDN,1898,1289728
Indonesia,IDN,1899,1124848
Indonesia,IDN,1900,1209120
Indonesia,IDN,1901,2242368
Indonesia,IDN,1902,1538880
Indonesia,IDN,1903,3000816
Indonesia,IDN,1904,3367216
Indonesia,IDN,1905,4132991.8
Indonesia,IDN,1906,4451760
Indonesia,IDN,1907,5294480
Indonesia,IDN,1908,5492336
Indonesia,IDN,1909,5986976
Indonesia,IDN,1910,6111552
Indonesia,IDN,1911,6727104
Indonesia,IDN,1912,5840416
Indonesia,IDN,1913,5899040
Indonesia,IDN,1914,6016288
Indonesia,IDN,1915,6030944
Indonesia,IDN,1916,6763744
Indonesia,IDN,1917,7137472
Indonesia,IDN,1918,7130144
Indonesia,IDN,1919,7635776
Indonesia,IDN,1920,8262319.5
Indonesia,IDN,1921,8756960
Indonesia,IDN,1922,8298959.5
Indonesia,IDN,1923,9588688
Indonesia,IDN,1924,10585296
Indonesia,IDN,1925,11079936
Indonesia,IDN,1926,11098256
Indonesia,IDN,1927,12886288
Indonesia,IDN,1928,14831872
Indonesia,IDN,1929,18539246
Indonesia,IDN,1930,18084938
Indonesia,IDN,1931,16894168
Indonesia,IDN,1932,16586601
Indonesia,IDN,1933,17861704
Indonesia,IDN,1934,19235554
Indonesia,IDN,1935,20001212
Indonesia,IDN,1936,21767288
Indonesia,IDN,1937,25343888
Indonesia,IDN,1938,26732544
Indonesia,IDN,1939,29201396
Indonesia,IDN,1940,28733088
Indonesia,IDN,1941,26486372
Indonesia,IDN,1942,9456784
Indonesia,IDN,1943,19027152
Indonesia,IDN,1944,8771616
Indonesia,IDN,1945,3806896
Indonesia,IDN,1946,1344688
Indonesia,IDN,1947,4056018
Indonesia,IDN,1948,15494907
Indonesia,IDN,1949,21903392
Indonesia,IDN,1950,9830512
Indonesia,IDN,1951,9390416
Indonesia,IDN,1952,12720844
Indonesia,IDN,1953,13079886
Indonesia,IDN,1954,14747006
Indonesia,IDN,1955,20843902
Indonesia,IDN,1956,21811198
Indonesia,IDN,1957,22411678
Indonesia,IDN,1958,22206286
Indonesia,IDN,1959,23862234
Indonesia,IDN,1960,21385192
Indonesia,IDN,1961,26001594
Indonesia,IDN,1962,22974894
Indonesia,IDN,1963,22763096
Indonesia,IDN,1964,22374266
Indonesia,IDN,1965,24668226
Indonesia,IDN,1966,23374952
Indonesia,IDN,1967,24540046
Indonesia,IDN,1968,27562608
Indonesia,IDN,1969,33362214
Indonesia,IDN,1970,35791384
Indonesia,IDN,1971,38955264
Indonesia,IDN,1972,43306284
Indonesia,IDN,1973,49098096
Indonesia,IDN,1974,51226504
Indonesia,IDN,1975,53932536
Indonesia,IDN,1976,61788250
Indonesia,IDN,1977,82416410
Indonesia,IDN,1978,93938110
Indonesia,IDN,1979,95137000
Indonesia,IDN,1980,94872870
Indonesia,IDN,1981,100297050
Indonesia,IDN,1982,105583976
Indonesia,IDN,1983,105183850
Indonesia,IDN,1984,112460230
Indonesia,IDN,1985,121597384
Indonesia,IDN,1986,122166080
Indonesia,IDN,1987,123878480
Indonesia,IDN,1988,132721210
Indonesia,IDN,1989,131673520
Indonesia,IDN,1990,155080830
Indonesia,IDN,1991,174865010
Indonesia,IDN,1992,199418670
Indonesia,IDN,1993,215108740
Indonesia,IDN,1994,219371660
Indonesia,IDN,1995,222410480
Indonesia,IDN,1996,253065010
Indonesia,IDN,1997,279941500
Indonesia,IDN,1998,244522960
Indonesia,IDN,1999,292000930
Indonesia,IDN,2000,281330370
Indonesia,IDN,2001,317027200
Indonesia,IDN,2002,308485920
Indonesia,IDN,2003,339357470
Indonesia,IDN,2004,343021500
Indonesia,IDN,2005,347617020
Indonesia,IDN,2006,346633440
Indonesia,IDN,2007,387858050
Indonesia,IDN,2008,365718300
Indonesia,IDN,2009,398942050
Indonesia,IDN,2010,445806080
Indonesia,IDN,2011,500724540
Indonesia,IDN,2012,515954180
Indonesia,IDN,2013,489055100
Indonesia,IDN,2014,487889950
Indonesia,IDN,2015,539149250
Indonesia,IDN,2016,540085600
Indonesia,IDN,2017,556944200
Indonesia,IDN,2018,594101400
Indonesia,IDN,2019,653791600
Indonesia,IDN,2020,608223200
Indonesia,IDN,2021,619622400
Indonesia,IDN,2022,737072640
Indonesia,IDN,2023,733223940
