Entity,Code,Year,Annual precipitation
Indonesia,IDN,1961,2681.9238
Indonesia,IDN,1962,3016.4604
Indonesia,IDN,1963,2574.6047
Indonesia,IDN,1964,3127.2048
Indonesia,IDN,1965,2650.3787
Indonesia,IDN,1966,3378.2822
Indonesia,IDN,1967,3046.7876
Indonesia,IDN,1968,3147.8706
Indonesia,IDN,1969,2952.0967
Indonesia,IDN,1970,3388.3977
Indonesia,IDN,1971,3202.1045
Indonesia,IDN,1972,2360.089
Indonesia,IDN,1973,3403.081
Indonesia,IDN,1974,2933.7832
Indonesia,IDN,1975,3327.8894
Indonesia,IDN,1976,2714.2695
Indonesia,IDN,1977,2910.392
Indonesia,IDN,1978,3429.7769
Indonesia,IDN,1979,3041.806
Indonesia,IDN,1980,2956.2598
Indonesia,IDN,1981,3120.4026
Indonesia,IDN,1982,2613.0273
Indonesia,IDN,1983,3132.2783
Indonesia,IDN,1984,3504.0469
Indonesia,IDN,1985,3206.6794
Indonesia,IDN,1986,3172.3337
Indonesia,IDN,1987,2946.2883
Indonesia,IDN,1988,3463.7642
Indonesia,IDN,1989,3270.0737
Indonesia,IDN,1990,2936.2212
Indonesia,IDN,1991,2860.8015
Indonesia,IDN,1992,3067.416
Indonesia,IDN,1993,2990.4817
Indonesia,IDN,1994,3005.0403
Indonesia,IDN,1995,3588.3894
Indonesia,IDN,1996,3279.4084
Indonesia,IDN,1997,2342.6814
Indonesia,IDN,1998,3524.3354
Indonesia,IDN,1999,3380.8242
Indonesia,IDN,2000,3345.4768
Indonesia,IDN,2001,3229.5305
Indonesia,IDN,2002,2710.366
Indonesia,IDN,2003,3076.247
Indonesia,IDN,2004,2796.8582
Indonesia,IDN,2005,3123.928
Indonesia,IDN,2006,2938.029
Indonesia,IDN,2007,3324.9883
Indonesia,IDN,2008,3469.9106
Indonesia,IDN,2009,2958.5571
Indonesia,IDN,2010,3773.515
Indonesia,IDN,2011,3257.664
Indonesia,IDN,2012,3340.6816
Indonesia,IDN,2013,3652.3726
Indonesia,IDN,2014,3072.5667
Indonesia,IDN,2015,2802.0144
Indonesia,IDN,2016,3754.9534
Indonesia,IDN,2017,3661.7627
Indonesia,IDN,2018,3210.189
Indonesia,IDN,2019,2868.7268
