Entity,Code,Year,Cereals | 00001717 || Yield | 005419 || tonnes per hectare
Indonesia,IDN,1961,1.5417
Indonesia,IDN,1962,1.5534999
Indonesia,IDN,1963,1.5019
Indonesia,IDN,1964,1.5128
Indonesia,IDN,1965,1.5597999
Indonesia,IDN,1966,1.5143
Indonesia,IDN,1967,1.5493
Indonesia,IDN,1968,1.8084999
Indonesia,IDN,1969,1.9440999
Indonesia,IDN,1970,2.0008
Indonesia,IDN,1971,2.0816998
Indonesia,IDN,1972,2.1524
Indonesia,IDN,1973,2.1272
Indonesia,IDN,1974,2.2803
Indonesia,IDN,1975,2.3072999
Indonesia,IDN,1976,2.4726
Indonesia,IDN,1977,2.4245
Indonesia,IDN,1978,2.493
Indonesia,IDN,1979,2.6224
Indonesia,IDN,1980,2.8657
Indonesia,IDN,1981,3.0221
Indonesia,IDN,1982,3.3321
Indonesia,IDN,1983,3.3202999
Indonesia,IDN,1984,3.3794
Indonesia,IDN,1985,3.5133
Indonesia,IDN,1986,3.4761999
Indonesia,IDN,1987,3.6046999
Indonesia,IDN,1988,3.5683
Indonesia,IDN,1989,3.7786
Indonesia,IDN,1990,3.8002
Indonesia,IDN,1991,3.8621
Indonesia,IDN,1992,3.8170998
Indonesia,IDN,1993,3.9162998
Indonesia,IDN,1994,3.8655
Indonesia,IDN,1995,3.8428
Indonesia,IDN,1996,3.9448998
Indonesia,IDN,1997,4.0113997
Indonesia,IDN,1998,3.8169
Indonesia,IDN,1999,3.8957
Indonesia,IDN,2000,4.0264
Indonesia,IDN,2001,4.0449
Indonesia,IDN,2002,4.1695
Indonesia,IDN,2003,4.2481
Indonesia,IDN,2004,4.2745
Indonesia,IDN,2005,4.3113
Indonesia,IDN,2006,4.3658
Indonesia,IDN,2007,4.4139
Indonesia,IDN,2008,4.703
Indonesia,IDN,2009,4.8087
Indonesia,IDN,2010,4.8724
Indonesia,IDN,2011,4.8912997
Indonesia,IDN,2012,5.0868
Indonesia,IDN,2013,5.087
Indonesia,IDN,2014,5.0990996
Indonesia,IDN,2015,5.3138
Indonesia,IDN,2016,5.1587
Indonesia,IDN,2017,5.1222997
Indonesia,IDN,2018,5.244
Indonesia,IDN,2019,5.1967
Indonesia,IDN,2020,5.2486
Indonesia,IDN,2021,5.331
Indonesia,IDN,2022,5.3935
